OID_,Origins15dqmd4_Name,FREQUENCY,MEAN_Properties_FoodDrinks_OD_lt90_open_Total_PublicTransitTime,MIN_Properties_FoodDrinks_OD_lt90_open_Total_PublicTransitTime,MAX_Properties_FoodDrinks_OD_lt90_open_Total_PublicTransitTime,STD_Properties_FoodDrinks_OD_lt90_open_Total_PublicTransitTime,MEAN_Properties_FoodDrinks_OD_lt90_open_Attraction_CostNormalize,MAX_Properties_FoodDrinks_OD_lt90_open_Attraction_CostNormalized,MAX_Properties_FoodDrinks_OD_lt90_open_Attraction_CostNormaliz_1,STD_Properties_FoodDrinks_OD_lt90_open_Attraction_CostNormalized
34,111 Dryden Rd,280,25.485632591382700,0.025899059593512,84.343985685027420,19.967084167390603,256.453546475295639,19599.167227182526403,,1417.137098999626460
35,111 Harvard Pl,280,29.940791822430796,3.780626404257956,83.812306306548351,19.534502994542475,58.085472395119055,995.197599531740707,,92.128756117627390
36,112-114 Schuyler Pl,279,23.231242647927239,1.448752635891830,84.573624759586110,20.875236056710104,99.960395068506998,1968.665807060429415,,182.519166311811745
37,112 E State St,279,22.691378486169199,0.067510936334513,87.709462710678153,22.512508987209124,282.592767358498861,17979.309218667829555,,1170.995122052476063
38,112 Sapsucker Woods Rd,222,68.634705209738655,29.950595379986858,89.923885984752175,13.771960987996009,15.551920895952334,129.283764310227951,,21.298078202214487
39,112 Summit St,280,28.472981261852343,2.616355570711842,82.648035473002238,19.358557184235472,67.172065335120578,1644.006476977942157,,127.124402052608076
40,113 N Quarry St,280,24.957045806655504,2.853301292302365,89.023124310274255,20.508954879605191,77.483097817029304,932.309488223652920,,115.929425602121867
41,113 Oak Ave,280,27.407865020453293,1.214820739810302,82.580342785312226,19.307191589052835,82.311703216334593,3570.853659608283124,,233.222895981683479
42,114 Birdseye View Dr,245,50.281727539316002,4.027773627086459,88.305835169142483,10.976272199809840,28.154039168644662,335.239302450856542,,46.572914610527860
43,114 Overlook Rd Apt 3,276,38.231477320835303,12.160665004365589,89.470522162371751,13.607875936297990,32.907815072564020,313.710536618086678,,45.728740024393112
44,114 Stewart Ave,279,23.785551248952078,2.805201266313959,82.028042686397114,20.073286322961867,82.973916088968423,1146.844005002153835,,126.355305801539501
45,115 Prospect St # 1,280,24.455941153754129,3.205966490070469,88.963608079880956,21.918679011132546,95.218892671077072,1558.686693360903519,,164.211664632281867
46,115 Prospect St # 2,280,24.455941153754129,3.205966490070469,88.963608079880956,21.918679011132546,95.218892671077072,1558.686693360903519,,164.211664632281867
47,116 Ferris Pl Apt 1,279,24.913084063078305,2.567267939046127,84.931972596637721,20.122765906189748,74.956540584934885,1035.662581039396855,,115.695256054958165
48,116 Ferris Pl Apt 2,279,24.887220135561961,2.607580988079976,84.891659547603879,20.128243082488510,75.140152788828857,1041.566533052220848,,115.977266209249649
49,116 Ferris Pl Apt 3,279,24.922712840499059,2.552259956362390,84.946980579321462,20.120738632455112,74.888980490671855,1033.481683517222336,,115.593456936060591
50,117 Prospect St,280,24.410770952871623,3.359661992737955,88.809912577213467,21.885185704440037,95.898213398993249,1611.086628634333920,,167.219349052167388
51,118 Ferris Pl,279,24.970605292811911,2.477611944098229,85.021628591585625,20.110750421027813,74.559395937976944,1022.769190821904999,,115.113629278268462
52,118 Ferris Pl Apt 1,279,24.923102707518186,2.551652286539300,84.947588249144559,20.120656683540243,74.886254115612743,1033.393572933211317,,115.589372029729418
53,118 Ferris Pl Apt 2,279,24.923102707518186,2.551652286539300,84.947588249144559,20.120656683540243,74.886254115612743,1033.393572933211317,,115.589372029729418
54,118 Ferris Pl Apt 3,279,24.971988815440078,2.475455503800696,85.023785031883151,20.110464238290103,74.550035236555843,1022.463026515216256,,115.100439211364360
55,119-121 Prospect St # 119PRO,280,24.354246890208426,3.319766933540776,88.625880745286793,21.846610074589815,96.889581059498369,1678.658519385975524,,171.453097549125459
56,119 Stewart Ave # 119STE,280,23.951064052664272,1.865638634482686,89.528083135982229,20.480411626109014,84.713129930608559,1009.074413535375811,,126.521943522710359
57,121 Cascadilla Ave Apt 1,279,24.620972396824268,1.896897667525292,86.538464137586587,20.261346252817415,85.062354171933322,1239.181237998258212,,151.698521003689905
58,121 Cascadilla Ave Apt 3,279,24.609407754339461,1.948561342536086,86.486800462575786,20.251730707802551,85.012364469566421,1206.325892178818094,,150.919381717606313
59,123 Columbia St # 123COL,279,25.267966001323213,5.290069043994517,89.583004517940040,21.424891905229032,80.575610333283407,1143.320755549040769,,130.822372139244749
60,124 Roberts Pl,278,34.995643442213357,4.093998065499996,86.668871369403007,15.122171483685165,36.355633205192611,301.677838499240124,,49.181255822347481
61,124 Sears St Apt 1,279,24.786762489824763,1.938887647656890,87.348235332823108,20.446123815705011,84.997523118082583,1199.141557332496177,,150.793254034258013
62,125 Highland Pl Apt 1,280,25.755878426057233,1.059373171635338,86.692789708395722,20.283644090979109,89.598758737404765,1609.932672175248626,,172.926379970415411
63,126 College Ave Unit 201,280,27.051551743094123,3.224429411724004,86.824230175772215,19.733038356931477,67.737709279406459,1119.161622425172027,,106.595899074579080
64,126 College Ave Unit 401,280,27.051551743094123,3.224429411724004,86.824230175772215,19.733038356931477,67.737709279406459,1119.161622425172027,,106.595899074579080
65,127 College Ave,280,26.716396460073305,2.869425135624590,86.469225899672793,19.733594128916504,70.240787214833674,1213.459370847151376,,112.634872579446110
66,128 Sapsucker Woods Rd,218,69.711266779084966,31.454299222924568,89.820554600068220,13.660901779307823,15.231649884393530,127.033669450606922,,20.986860603116586
