OID_,O_address,FREQUENCY,MEAN_Total_PublicTransitTime,MIN_Total_PublicTransitTime,MAX_Total_PublicTransitTime,STD_Total_PublicTransitTime,MEAN_Attraction_CostNormalized,MIN_Attraction_CostNormalized,MAX_Attraction_CostNormalized,STD_Attraction_CostNormalized
36,112-114 Schuyler Pl,50,30.327742557428408,4.705425734605799,78.734409004284757,21.494912453777662,36.106734409430580,0.020714215880726,593.041455293860281,96.360678029220722
37,112 E State St,50,29.495624110421350,1.287910717494873,81.870246955376800,23.289602275648299,47.259717831219440,0.020759281387867,797.810823637232374,126.722922048974908
38,112 Sapsucker Woods Rd,38,66.336676144518790,30.085734729869412,89.350915254935543,15.732904275642065,7.012997379934219,0.021298912732485,51.004981890096687,11.514868957641138
39,112 Summit St,52,37.691251161997059,3.235257971877811,87.632148888669377,21.814604284047896,28.151503804340056,0.011411337193961,384.306854155160465,65.899370878266907
40,113 N Quarry St,50,31.896161360026746,3.727958892800244,77.580964450788670,20.889882051315507,34.215508022282911,0.019941584948863,506.308656011251628,84.320792795858083
41,113 Oak Ave,52,36.631725278969867,1.557141864594519,86.206591799493751,21.750801022318097,30.846436766009877,0.011600041007605,394.665136307001148,69.536486835208976
42,114 Birdseye View Dr,42,45.911370931594355,6.317589219911389,76.538187637666297,18.105637708725045,19.190326573076408,0.098489171831788,276.603593059509478,54.145197240872292
43,114 Overlook Rd Apt 3,51,44.678226648598823,15.130342648824703,77.269655629933837,16.352809788697737,20.055758092031354,0.012941759860726,288.470278819985651,50.356815766678075
44,114 Stewart Ave,50,30.933776177660953,4.142250496743431,76.188826931095761,20.772309179713879,34.703518468713838,0.019833210610667,534.064048997450300,87.828822052318657
45,115 Prospect St # 1,50,30.250352193861840,4.817871601156135,83.124392324579603,22.415202314147152,42.003311653322335,0.022830314610258,831.625496578375987,130.525018907357151
46,115 Prospect St # 2,50,30.250352193861840,4.817871601156135,83.124392324579603,22.415202314147152,42.003311653322335,0.022830314610258,831.625496578375987,130.525018907357151
47,116 Ferris Pl Apt 1,50,31.612001902560593,7.046180406984048,79.092756841336367,20.798321573748225,33.133407038342277,0.021045298890104,535.883376127533779,88.171739305651215
48,116 Ferris Pl Apt 2,50,31.597489204908410,7.005867357950198,79.052443792302526,20.802844051032807,33.140441644083765,0.021027459190235,535.080528903534400,88.063537119587522
49,116 Ferris Pl Apt 3,50,31.617404776326744,7.061188389667784,79.107764824020109,20.796655396586168,33.130870073512227,0.021051948094887,536.182880646284161,88.212149316877216
50,117 Prospect St,50,30.215326606850986,4.929675462737858,82.970696821912114,22.343983217669031,41.781005724405496,0.022910706369992,824.307769976272994,129.495859650591569
51,118 Ferris Pl,50,31.644278060741840,7.135836401931945,79.182412836284271,20.788509003292425,33.118905413559105,0.021085083009323,537.677570002197626,88.414172529998538
52,118 Ferris Pl Apt 1,50,31.617623537463050,7.061796059490876,79.108372493843206,20.796588133265523,33.130768284695030,0.021052217408190,536.195014568760030,88.213786968947744
53,118 Ferris Pl Apt 2,50,31.617623537463050,7.061796059490876,79.108372493843206,20.796588133265523,33.130768284695030,0.021052217408190,536.195014568760030,88.213786968947744
54,118 Ferris Pl Apt 3,50,31.645054379248950,7.137992842229480,79.184569276581797,20.788277159994891,33.118575849206451,0.021086041764708,537.720872613241227,88.420034012015805
55,119-121 Prospect St # 119PRO,50,30.156436420634453,4.745643630811179,82.786664989985439,22.268534253602819,41.573376330184416,0.023007713776655,815.713327058727145,128.292621795822924
56,119 Stewart Ave # 119STE,50,31.056273261250936,3.129887147714812,75.686848474706693,20.837932860288124,35.208914011279951,0.019442829403109,517.240498568763542,85.900229680293052
57,121 Cascadilla Ave Apt 1,50,31.036131107139621,5.626636690432406,75.886056210784915,21.021124517126154,37.451069287558383,0.019093843905353,571.030911304255255,98.575639605802849
58,121 Cascadilla Ave Apt 3,50,31.031998013138754,5.678300365443200,75.834392535774114,20.993685816545373,37.368873414775081,0.019112697781776,569.863259371366667,98.343296207057179
59,123 Columbia St # 123COL,50,30.860862674552731,6.800140880003689,84.841162239177947,22.391327619249264,39.357470555213411,0.024571917681712,767.414048447709320,121.911312199822305
