"placeId","cid","title","street","city","state","categoryName","openingHours/0/day","openingHours/0/hours","openingHours/1/day","openingHours/1/hours","openingHours/2/day","openingHours/2/hours","openingHours/3/day","openingHours/3/hours","openingHours/4/day","openingHours/4/hours","openingHours/5/day","openingHours/5/hours","openingHours/6/day","openingHours/6/hours","temporarilyClosed","reviewsCount","price","imagesCount","isAdvertisement","description","permanentlyClosed","url","rank","totalScore","location/lat","location/lng"
"ChIJq6rarY6B0IkR_s8YcHnauBk","1853471461769531390","Alternatives Library","130 Anabel Taylor Hall","Ithaca","New York","Public library","Monday","11 AM to 8 PM","Tuesday","11 AM to 8 PM","Wednesday","11 AM to 8 PM","Thursday","11 AM to 8 PM","Friday","11 AM to 8 PM","Saturday","11 AM to 5 PM","Sunday","11 AM to 5 PM","false","1",,"6","false",,"false","https://www.google.com/maps/place/Alternatives+Library/@42.4448839,-76.4855954,17z/data=!3m1!4b1!4m6!3m5!1s0x89d0818eaddaaaab:0x19b8da797018cffe!8m2!3d42.4448839!4d-76.4855954!16s%2Fg%2F1vgx1r2j?hl=en&entry=ttu","14","5","42.4448839","-76.4855954"
"ChIJswaZLoqB0IkRHXjISs2d81M","6049352229537216541","Uris Library","160 Ho Plaza","Ithaca","New York","University library","Monday","8 AM to 11 PM","Tuesday","8 AM to 11 PM","Wednesday","8 AM to 11 PM","Thursday","8 AM to 11 PM","Friday","8 AM to 5 PM","Saturday","12 to 5 PM","Sunday","12 to 11 PM","false","64",,"241","false",,"false","https://www.google.com/maps/place/Uris+Library/@42.4477499,-76.4853009,17z/data=!3m1!4b1!4m6!3m5!1s0x89d0818a2e9906b3:0x53f39dcd4ac8781d!8m2!3d42.4477499!4d-76.4853009!16s%2Fg%2F1q6j5sv12?hl=en&entry=ttu","13","4.7","42.4477499","-76.4853009"
"ChIJy_stz4WB0IkR2XSrYX5DVWQ","7229758986896766169","Mui Ho Fine Arts Library","947 University Ave","Ithaca","New York","University library","Monday","9 AM to 10 PM","Tuesday","9 AM to 10 PM","Wednesday","9 AM to 10 PM","Thursday","9 AM to 10 PM","Friday","9 AM to 5 PM","Saturday","12 to 5 PM","Sunday","2 to 10 PM","false","5",,"14","false",,"false","https://www.google.com/maps/place/Mui+Ho+Fine+Arts+Library/@42.4512091,-76.4830587,17z/data=!3m1!4b1!4m6!3m5!1s0x89d08185cf2dfbcb:0x6455437e61ab74d9!8m2!3d42.4512091!4d-76.4830587!16s%2Fg%2F1262lm9ff?hl=en&entry=ttu","11","4.8","42.4512091","-76.4830587"
"ChIJ__-_louB0IkRLzhzPiw1hIY","9692930762150721583","Cornell University Johnson Graduate School of Management Library","114 E Ave","Ithaca","New York","University library","Monday","7 AM to 8 PM","Tuesday","7 AM to 8 PM","Wednesday","7 AM to 8 PM","Thursday","7 AM to 8 PM","Friday","7 AM to 8 PM","Saturday","7 AM to 5 PM","Sunday","7 AM to 5 PM","false","1",,"1","false",,"false","https://www.google.com/maps/place/Cornell+University+Johnson+Graduate+School+of+Management+Library/@42.4458947,-76.4832581,17z/data=!3m1!4b1!4m6!3m5!1s0x89d0818b96bfffff:0x8684352c3e73382f!8m2!3d42.4458947!4d-76.4832581!16s%2Fg%2F1tj80yzm?hl=en&entry=ttu","12","5","42.4458947","-76.4832581"
"ChIJBevaLYqB0IkREdNOX2-vd3Y","8536484511579296529","John M. Olin Library","161 Ho Plaza","Ithaca","New York","University library","Monday","8 AM to 12 AM","Tuesday","8 AM to 12 AM","Wednesday","8 AM to 12 AM","Thursday","8 AM to 12 AM","Friday","8 AM to 6 PM","Saturday","10 AM to 6 PM","Sunday","10 AM to 12 AM","false","22",,"35","false",,"false","https://www.google.com/maps/place/John+M.+Olin+Library/@42.4477629,-76.4847197,17z/data=!3m1!4b1!4m6!3m5!1s0x89d0818a2ddaeb05:0x7677af6f5f4ed311!8m2!3d42.4477629!4d-76.4847197!16s%2Fg%2F1tfc2_jw?hl=en&entry=ttu","10","4.5","42.4477629","-76.4847197"
"ChIJs7W4Q4qB0IkR29Ic_9mwpdQ","15322847757532451547","Carl A. Kroch Library","216 Feeney Way","Ithaca","New York","University library","Monday","8 AM to 12 AM","Tuesday","8 AM to 12 AM","Wednesday","8 AM to 12 AM","Thursday","8 AM to 12 AM","Friday","8 AM to 6 PM","Saturday","10 AM to 6 PM","Sunday","10 AM to 12 AM","false","0",,,"false",,"false","https://www.google.com/maps/place/Carl+A.+Kroch+Library/@42.4477741,-76.4841596,17z/data=!3m1!4b1!4m6!3m5!1s0x89d0818a43b8b5b3:0xd4a5b0d9ff1cd2db!8m2!3d42.4477741!4d-76.4841596!16s%2Fg%2F1tgpc7nw?hl=en&entry=ttu","8",,"42.4477741","-76.4841596"
"ChIJdxu2j_WB0IkRuZgiCOYkK7Y","13126626109299005625","Albert R. Mann Library","237 Mann Dr","Ithaca","New York","University library","Monday","8 AM to 10 PM","Tuesday","8 AM to 10 PM","Wednesday","8 AM to 10 PM","Thursday","8 AM to 10 PM","Friday","8 AM to 6 PM","Saturday","12 to 6 PM","Sunday","12 to 10 PM","false","19",,"12","false",,"false","https://www.google.com/maps/place/Albert+R.+Mann+Library/@42.4487952,-76.476316,17z/data=!3m1!4b1!4m6!3m5!1s0x89d081f58fb61b77:0xb62b24e6082298b9!8m2!3d42.4487952!4d-76.476316!16s%2Fg%2F1td6z2k0?hl=en&entry=ttu","9","4.7","42.4487952","-76.476316"
"ChIJq6rqa6-B0IkR-Pxq1Nh0OZ8","11473330000328588536","Ithaca College Library","Gannett Center, 1201","Ithaca","NY","University library","Monday","7:30 AM to 2 AM","Tuesday","7:30 AM to 2 AM","Wednesday","7:30 AM to 2 AM","Thursday","7:30 AM to 2 AM","Friday","7:30 AM to 8 PM","Saturday","10 AM to 8 PM","Sunday","10 AM to 2 AM","false","13",,"11","false",,"false","https://www.google.com/maps/place/Ithaca+College+Library/@42.4212157,-76.4950752,17z/data=!3m1!4b1!4m6!3m5!1s0x89d081af6beaaaab:0x9f3974d8d46afcf8!8m2!3d42.4212157!4d-76.4950752!16s%2Fg%2F1td7jqmm?hl=en&entry=ttu","6","4.6","42.4212157","-76.4950752"
"ChIJ__8_3IqB0IkRfqrv_LHxDNY","15423968570592176766","Catherwood Library","521 Ives Hall","Ithaca","New York","University library","Monday","8 AM to 8 PM","Tuesday","8 AM to 8 PM","Wednesday","8 AM to 8 PM","Thursday","8 AM to 8 PM","Friday","8 AM to 5 PM","Saturday","Closed","Sunday","Closed","false","5",,"17","false",,"false","https://www.google.com/maps/place/Catherwood+Library/@42.4472515,-76.4809992,17z/data=!3m1!4b1!4m6!3m5!1s0x89d0818adc3fffff:0xd60cf1b1fcefaa7e!8m2!3d42.4472515!4d-76.4809992!16zL20vMGgxeWox?hl=en&entry=ttu","7","5","42.4472515","-76.4809992"
"ChIJQTPDP5yB0IkR7MoMKW0qsSg","2932171480723409644","Tompkins County Public Library","101 E Green St","Ithaca","New York","Public library","Monday","9 AM to 8 PM","Tuesday","9 AM to 8 PM","Wednesday","9 AM to 8 PM","Thursday","9 AM to 8 PM","Friday","9 AM to 6 PM","Saturday","10 AM to 5 PM","Sunday","1 to 5 PM","false","104",,"26","false",,"false","https://www.google.com/maps/place/Tompkins+County+Public+Library/@42.4385288,-76.49876,17z/data=!3m1!4b1!4m6!3m5!1s0x89d0819c3fc33341:0x28b12a6d290ccaec!8m2!3d42.4385288!4d-76.49876!16s%2Fm%2F0j9fw98?hl=en&entry=ttu","4","4.7","42.4385288","-76.49876"
"ChIJAe8z6dec0IkRUuTMKDVerJ8","11505674730435568722","Lansing Community Library","27 Auburn Rd","Lansing","New York","Public library","Monday","10 AM to 7 PM","Tuesday","10 AM to 7 PM","Wednesday","10 AM to 7 PM","Thursday","10 AM to 7 PM","Friday","10 AM to 2 PM","Saturday","10 AM to 2 PM","Sunday","Closed","false","11",,"1","false",,"false","https://www.google.com/maps/place/Lansing+Community+Library/@42.5378186,-76.5031113,17z/data=!3m1!4b1!4m6!3m5!1s0x89d09cd7e933ef01:0x9fac5e3528cce452!8m2!3d42.5378186!4d-76.5031113!16s%2Fg%2F1v_s6vz2?hl=en&entry=ttu","3","4.9","42.5378186","-76.5031113"
"ChIJH0Teg-aP0IkR6YkpHIVXwSY","2792609473161169385","Ulysses Philomathic Library","74 E Main St","Trumansburg","New York","Public library","Monday","10 AM to 5 PM","Tuesday","10 AM to 7 PM","Wednesday","10 AM to 7 PM","Thursday","10 AM to 5 PM","Friday","10 AM to 5 PM","Saturday","10 AM to 2 PM","Sunday","Closed","false","12",,"4","false",,"false","https://www.google.com/maps/place/Ulysses+Philomathic+Library/@42.5408544,-76.6588576,17z/data=!3m1!4b1!4m6!3m5!1s0x89d08fe683de441f:0x26c157851c2989e9!8m2!3d42.5408544!4d-76.6588576!16s%2Fm%2F0j9fwgn?hl=en&entry=ttu","2","4.9","42.5408544","-76.6588576"
"ChIJddxx3mOP0IkRk4R7GrTyePs","18120499956077528211","Trumansburg Puzzle Library","32 Whig St","Trumansburg","New York","Library","Monday","8 AM to 6 PM","Tuesday","8 AM to 6 PM","Wednesday","8 AM to 6 PM","Thursday","8 AM to 6 PM","Friday","8 AM to 6 PM","Saturday","8 AM to 6 PM","Sunday","8 AM to 6 PM","false","4",,"5","false",,"false","https://www.google.com/maps/place/Trumansburg+Puzzle+Library/@42.538963,-76.6576277,17z/data=!3m1!4b1!4m6!3m5!1s0x89d08f63de71dc75:0xfb78f2b41a7b8493!8m2!3d42.538963!4d-76.6576277!16s%2Fg%2F11mxcn491q?hl=en&entry=ttu","1","5","42.538963","-76.6576277"
"ChIJz1rSh-J42okRpFLGfDC5TJQ","10686119633746285220","Finger Lakes Library Parking","1300 Dryden Rd","Ithaca","New York","Parking lot",,,,,,,,,,,,,,,"false","3",,"1","false",,"false","https://www.google.com/maps/place/Finger+Lakes+Library+Parking/@42.4678966,-76.4105665,17z/data=!3m1!4b1!4m6!3m5!1s0x89da78e287d25acf:0x944cb9307cc652a4!8m2!3d42.4678966!4d-76.4105665!16s%2Fg%2F11f3shl9tg?hl=en&entry=ttu","37","3.7","42.4678966","-76.4105665"
"ChIJhegS-JyB0IkRpYC7pun6-10","6772282346113302693","S Central Regional Library","1300 Dryden Rd","Ithaca","New York","Library","Monday","Closed","Tuesday","9:30 AM to 4 PM","Wednesday","Closed","Thursday","9:30 AM to 4 PM","Friday","9:30 AM to 5 PM","Saturday","Closed","Sunday","Closed","false","0",,"1","false",,"false","https://www.google.com/maps/place/S+Central+Regional+Library/@42.4678333,-76.410863,17z/data=!3m1!4b1!4m6!3m5!1s0x89d0819cf812e885:0x5dfbfae9a6bb80a5!8m2!3d42.4678333!4d-76.410863!16s%2Fg%2F1tggbz09?hl=en&entry=ttu","15",,"42.4678333","-76.410863"
"ChIJTahdp3CB0IkRyhLrNquHNiI","2465307015462458058","Friends of the Library Book Sale - Donations Only Nov 11-April 16","509 Esty St","Ithaca","New York","Used book store",,,,,,,,,,,,,,,"true","196",,"36","false",,"false","https://www.google.com/maps/place/Friends+of+the+Library+Book+Sale+-+Donations+Only+Nov+11-April+16/@42.4430255,-76.5093406,17z/data=!3m1!4b1!4m6!3m5!1s0x89d08170a75da84d:0x223687ab36eb12ca!8m2!3d42.4430255!4d-76.5093406!16s%2Fg%2F1tc_0hb7?hl=en&entry=ttu","52","4.8","42.4430255","-76.5093406"
