address/street,baths,beds,coordinates/latitude,coordinates/longitude,garage,id,lastSoldPrice,listPrice,name,soldOn,sqft,status,stories,type,units,year_built,year_renovated
116 Ferris Pl Apt 2,1.0,3.0,42.438127,-76.489369,0.0,4340179655,,2100.0,,,750.0,for_rent,,apartment,1.0,,
218 Delaware Ave Apt 4,2.0,5.0,42.440521,-76.483574,0.0,9004188671,,5250.0,,,0.0,for_rent,,apartment,1.0,,
112-114 Schuyler Pl,1.0,3.0,42.439892,-76.492302,0.0,9356349145,,775.0,,,0.0,for_rent,,apartment,,,
118 Ferris Pl Apt 2,1.0,4.0,42.438084,-76.489365,0.0,9858278091,,2800.0,,,0.0,for_rent,,apartment,1.0,,
238 Dryden Rd Unit 201,2.0,2.0,42.441662,-76.483253,0.0,9800762398,,3710.0,,,990.0,for_rent,,condos,,,
218 Delaware Ave,1.5,3.5,42.440545,-76.483578,0.0,3877781734,495000.0,3075.0,Landlords Association,2009-12-11,0.0,for_rent,,apartment,3.0,0.0,
104 Lake Ave,4.0,7.0,42.444748,-76.499762,0.0,9843308796,467000.0,825.0,,2021-05-12,0.0,for_rent,,apartment,1.0,,
214 Dryden Rd,4.0,7.0,42.441896,-76.484229,0.0,9725975963,,850.0,,,0.0,for_rent,,apartment,1.0,,
238 Dryden Rd Unit G01,1.0,1.0,42.441662,-76.483253,0.0,9659993471,,2415.0,,,712.0,for_rent,,condos,,,
118 Ferris Pl,2.0,6.0,42.438019,-76.489395,0.0,9580770626,,4200.0,,,0.0,for_rent,,apartment,1.0,,
202 Linden-4 Bedroom Btb Ave Unit 203,0.0,0.0,42.439472,-76.484375,0.0,9973307477,,1285.0,,,300.0,for_rent,,condos,,,
124 Sears St Apt 1,2.0,5.0,42.443836,-76.498238,0.0,9637407987,,2950.0,,,1500.0,for_rent,,apartment,1.0,,
506 S Cayuga St Apt 1,1.0,4.0,42.433925,-76.498937,0.0,4339993326,,2720.0,,,0.0,for_rent,,apartment,1.0,,
118 Ferris Pl Apt 1,2.0,6.0,42.438084,-76.489365,0.0,9610840462,,4200.0,,,0.0,for_rent,,apartment,1.0,,
238 Dryden Rd Unit 402,1.0,2.0,42.441662,-76.483253,0.0,9443572855,,3500.0,,,781.0,for_rent,,condos,,,
815 S Aurora St Unit A206,1.0,2.0,42.430042,-76.49662,0.0,9918526406,,2300.0,,,736.0,for_rent,,condos,,,
238 Dryden Rd Unit 102,1.0,2.0,42.441662,-76.483253,0.0,9241504919,,3500.0,,,781.0,for_rent,,condos,,,
238 Dryden Rd Unit 302,1.0,2.0,42.441662,-76.483253,0.0,9110029277,,3530.0,,,781.0,for_rent,,condos,,,
815 S Aurora St Unit B301,1.0,2.0,42.430042,-76.49662,0.0,9735512368,,2100.0,,,736.0,for_rent,,condos,,,
815 S Aurora St Unit A203,1.0,2.0,42.430042,-76.49662,0.0,9247939406,,2000.0,,,607.0,for_rent,,condos,,,
702 Hudson Bedroom Downstairs St Unit 3,2.0,3.0,42.430138,-76.492523,0.0,9242504609,,2475.0,,,0.0,for_rent,,condos,,,
815 S Aurora St Unit A204,1.0,2.0,42.430042,-76.49662,0.0,9949146891,,2100.0,,,607.0,for_rent,,condos,,,
815 S Aurora St Unit A205,1.0,2.0,42.430042,-76.49662,0.0,9702777886,,2300.0,,,736.0,for_rent,,condos,,,
702 Hudson St Unit 2,2.0,3.0,42.430138,-76.492523,0.0,9586565159,,795.0,,,0.0,for_rent,,condos,,,
815 S Aurora St Unit B104,1.0,2.0,42.430042,-76.49662,0.0,9333900278,,2300.0,,,736.0,for_rent,,condos,,,
815 S Aurora St Unit A304,1.0,2.0,42.430042,-76.49662,0.0,9129857535,,2100.0,,,607.0,for_rent,,condos,,,
205 Williams St,2.0,7.0,42.442171,-76.488493,0.0,3844018790,380000.0,995.0,,2007-01-02,0.0,for_rent,,apartment,1.0,,
815 S Aurora St Unit A202,1.0,2.0,42.430042,-76.49662,0.0,9122493562,,2300.0,,,736.0,for_rent,,condos,,,
126 College Ave Unit 201,2.0,6.0,42.438778,-76.485321,0.0,9320578554,,1417.0,,,1658.0,for_rent,,condos,,,
111 Harvard Pl,3.0,7.0,42.440337,-76.48173,0.0,3886613762,573950.0,7600.0,,2016-06-01,0.0,for_rent,,single_family,1.0,,
815 S Aurora St Unit A201,1.0,3.0,42.430042,-76.49662,0.0,9634871026,,2730.0,,,970.0,for_rent,,condos,,,
202 Linden Ave Unit 1,1.0,4.0,42.439472,-76.484375,0.0,9697687795,,1285.0,,,300.0,for_rent,,condos,,,
605 S Aurora St,1.5,3.5,42.434511,-76.494298,0.0,4092992552,110000.0,,"MLR Property Management, LLC",2002-09-23,0.0,for_rent,,other,7.0,,
301 E State St,1.5,1.0,42.439304,-76.494944,0.0,4741580935,6800000.0,,City Centre Ithaca,2017-04-28,913.5,for_rent,,apartment,193.0,,
238 Dryden Rd Unit 202,1.0,2.0,42.441662,-76.483253,0.0,9969923513,,3530.0,,,781.0,for_rent,,condos,,,
116 Ferris Pl Apt 1,2.0,5.0,42.438091,-76.489388,0.0,9535483848,,3500.0,,,0.0,for_rent,,apartment,1.0,,
815 S Aurora St Unit A103,1.0,2.0,42.430042,-76.49662,0.0,9571468903,,2150.0,,,607.0,for_rent,,condos,,,
