OID_,Total_PublicTransitTime,Properties_Name,Properties_DistanceToNetworkInMeters
80,19.454589550010315,118 Ferris Pl Apt 3,21.962437305732532
81,31.521651845150043,702 Hudson St Unit 1,27.081997982578869
82,11.981219110812260,238 Dryden Rd Unit 401,20.034835681264834
83,25.731973202640976,121 Cascadilla Ave Apt 1,16.206587499006034
84,56.025264441779917,87 Uptown Rd Apt K107,107.338917420684936
85,22.626234406513717,719 Tripammer # C,32.712442025368361
86,127.590638984267173,105 Auburn Rd,10.696320273789702
87,23.081210401549278,807 Triphammer Rd,31.250672234118255
88,13.674155973664336,125 Highland Pl Apt 1,21.457378167543922
89,22.838361805051704,801 Triphammer Rd # B,32.486833029149267
90,22.626234406513717,719 Triphammer Rd Apt A,32.712442025368361
91,18.273973255085874,105 Worth St,24.421724602236640
92,56.556882644938263,87 Uptown Rd Apt I202,58.041005256349280
93,32.086700624309223,506 S Cayuga St # 2,15.101625886656237
94,31.884868630015912,3 Hudson Pl Unit B,31.606629658125986
95,30.365344749377048,327 W Seneca St Apt 102,29.216513935180458
96,30.365344749377048,327 W Seneca St Apt 303,29.216513935180458
97,23.063996964634470,807 Triphammer Rd # B,30.930062876964222
98,22.553312919356230,715 Triphammer Rd,18.938100925759660
99,30.365344749377048,327 W Seneca St Apt 203,29.216513935180458
100,12.558745771230644,124 Roberts Pl,25.019802820631675
101,27.595211978819894,702 N Aurora St,25.110870201228661
102,14.033703129596296,705 E Buffalo St,42.029491879486358
103,12.792472474223633,303 Wyckoff Ave,28.594615325483023
104,18.102988995682388,103 Spring Ln,8.240083543727252
105,140.835789926401873,1B Deibler Dr,33.558369126985902
106,55.316060523669265,112 Sapsucker Woods Rd,42.260309011617053
107,97.104723961456813,425 Troy Rd,79.622524139303977
108,10.491550902366685,202 Dryden Rd,23.017630218825072
109,18.726232127168061,107 Elmwood Ave,38.009139764811678
110,26.669341481907754,109 E State St,37.817810620703611
111,56.960278523091482,87 Uptown Rd Apt F112,157.306659347242942
112,19.141724447350484,426 E Buffalo St,38.182062593965647
