OID_,Origins1hcrswg_Name,FREQUENCY,MEAN_ODLines39kbyk_Total_PublicTransitTime,MAX_ODLines39kbyk_Total_PublicTransitTime,MIN_ODLines39kbyk_Total_PublicTransitTime,STD_ODLines39kbyk_Total_PublicTransitTime
85,208 Dryden Rd,14,40.774536490897994,81.887280302091170,3.835554044178845,24.823917374971650
86,210 Delaware Ave,14,42.723575147021698,82.743519551588690,4.861753112736501,25.257400464790638
87,210 Delaware Ave Apt 2,14,42.744679193981604,82.694276775348925,4.910995888976261,25.257625503373625
88,211 Columbia St,13,37.333815092910235,75.223255581815806,3.913413918557224,22.849133130927118
89,213-215 Columbia St,13,37.378440285826414,75.029879745845705,3.720038082587118,22.843664395199109
90,214 Dryden Rd,14,40.725175057133200,81.837918868326383,3.786192610414056,24.823917374971654
91,216 University Ave,14,38.714439831656414,79.714876640188962,13.824255860098068,23.581726816657085
92,217 Columbia St,13,37.415005422913474,74.778593707625049,3.468752044366468,22.829276661947446
93,218 Delaware Ave,14,42.277907264841417,83.567855382340525,4.037417281984659,25.394822626172061
94,218 Delaware Ave Apt 4,14,42.295895968185327,83.536375151488684,4.068897512836501,25.387868077018197
95,218 Pleasant St,13,37.718669817542008,76.474868452548620,7.059742552559181,22.955751176762270
96,220 Giles St,13,39.181331237072875,73.198856781784514,7.351114561308312,22.526322143056493
97,2250 N Triphammer Rd,11,50.004675625758530,75.231835224454088,24.943675063935192,18.704111102183543
98,2250 N Triphammer Rd Apt K2,11,50.004675625758530,75.231835224454088,24.943675063935192,18.704111102183543
99,226 Bryant Ave,14,42.990121009034397,84.557931654770798,4.803674901434293,25.566565255283201
100,230 Bryant Ave,14,42.522377095852917,83.140033178070397,4.465239486254784,25.302575772755930
101,232 S Geneva St,13,40.039020525898046,80.344300571527953,7.224637348887859,24.356339590446069
102,238 Dryden Rd Unit 102,14,41.456444482856128,83.293340581406611,1.670703808680221,25.395483813119807
103,238 Dryden Rd Unit 201,14,41.456444482856128,83.293340581406611,1.670703808680221,25.395483813119807
104,238 Dryden Rd Unit 202,14,41.456444482856128,83.293340581406611,1.670703808680221,25.395483813119807
105,238 Dryden Rd Unit 302,14,41.456444482856128,83.293340581406611,1.670703808680221,25.395483813119807
106,238 Dryden Rd Unit 401,14,41.456444482856128,83.293340581406611,1.670703808680221,25.395483813119807
107,238 Dryden Rd Unit 402,14,41.456444482856128,83.293340581406611,1.670703808680221,25.395483813119807
108,238 Dryden Rd Unit G01,14,41.456444482856128,83.293340581406611,1.670703808680221,25.395483813119807
109,3 Hudson Pl,13,42.725909903382984,81.882498544617036,5.684633148896138,22.186108601221598
110,3 Hudson Pl Unit B,13,42.727133903441512,81.884266544701575,5.686401148980683,22.185937469781294
111,301 E State St,14,39.075242251164219,86.557131619272241,9.688552244166637,26.143679606203168
112,303 Wyckoff Ave,13,37.530142780786711,76.646753292676735,17.374318399739757,17.767043850456108
113,306 Bryant Ave,14,41.708112721942065,83.158485086817379,3.314907204136256,25.310351501142069
114,308 E Seneca St,14,38.349093268052556,84.620683117086585,8.345929397204431,25.947868885984235
115,308 Fairmount Ave # 308FAI,14,43.831819784391534,86.130109272876069,4.791405265287611,25.803121214827499
116,308 Stewart Ave,14,38.483486682920407,80.576572139951281,8.425823115284214,24.902389331418895
117,309 S Aurora St,14,40.373925627588370,89.202636801747218,6.621953045050638,26.002571842598975
118,311-313 S Aurora St,14,40.517452665800100,89.455404488144111,6.369185358653758,26.009785553130165
119,315-317 Hillview Pl # 315HIL,13,38.507408742787817,78.265246208563028,4.605252127869358,23.030289555884135
120,319 Hillview Pl # 319HIL,13,38.362447228020500,78.055857353899142,4.395863273205466,22.988003315366932
121,320 Blackstone Ave,12,49.725918890151682,88.084395449604656,10.549731678370858,23.174523164230500
122,320 Hillview Pl # 320HIL,13,38.429086594351489,78.152114216377228,4.492120135683556,23.007318615754269
123,324 Pleasant St,13,37.617565144382837,75.976479467779512,4.666637804520939,23.170057181703971
124,324 Spencer Rd,11,46.926382168346734,71.094913779793757,28.448079808211759,13.164167427062869
125,327 W Seneca St,13,39.737362684301722,78.872452023894425,3.208560882361440,25.434973762160162
126,327 W Seneca St Apt 102,13,39.735579311833789,78.869876041440762,3.211136864815114,25.434038806063956
127,327 W Seneca St Apt 203,13,39.735579311833789,78.869876041440762,3.211136864815114,25.434038806063956
128,327 W Seneca St Apt 204,13,39.735579311833789,78.869876041440762,3.211136864815114,25.434038806063956
129,327 W Seneca St Apt 303,13,39.735579311833789,78.869876041440762,3.211136864815114,25.434038806063956
130,327 W Seneca St Apt 304,13,39.735579311833789,78.869876041440762,3.211136864815114,25.434038806063956
131,37 Uptown Rd Apt 16D,11,52.268075093784311,79.661140291433881,15.754026313335276,21.995345355885586
132,372 Troy Rd Unit 2,7,67.857708428998833,88.811954728328530,27.649853603874853,24.375995471168416
133,402 Esty St,14,44.855628777239424,89.099622168525954,7.496646924136180,27.603267144395208
134,404 University Ave,14,38.163083441940863,82.268049458710237,11.271083041576800,23.808776343110676
135,405-409 S Aurora St,13,37.218183019639724,75.814147957602913,5.640098724782388,22.924665312938032
136,409 College Ave,14,39.686916305330193,81.770287712947081,1.897294056029974,24.574935788108192
137,410 S Aurora St,13,37.075816000892537,75.985826665013306,5.298827877315512,22.884786359825945
