address/street,baths,beds,coordinates/latitude,coordinates/longitude,garage,id,listPrice,is_manual,name,sqft,status,stories,type,units,year_built
308 Fairmount Ave # 308FAI,1,1.5,42.440659,-76.480644,0,9594562840,1770.00,TRUE,PPM Homes LLC,425,for_rent,1,apartment,7,
320 Hillview Pl # 320HIL,1,3,42.434982,-76.495453,0,9040043485,1635.00,TRUE,PPM Homes LLC,780,for_rent,1,apartment,27,
918 Danby Road Llc 918 Danby Rd,1.5,3.5,42.42642,-76.499933,0,3068603579,2500.00,TRUE,918 Danby Road Llc 918 Danby Rd,0,for_rent,1,apartment,0,
119-121 Prospect St # 119PRO,1.5,4.5,42.437225,-76.495598,0,9528013151,2887.50,TRUE,PPM Homes LLC,1800,for_rent,1,apartment,3,
1028 Ellis Hollow Rd,1,1,42.435954,-76.460371,0,3421549321,646.00,FALSE,Ellis Hollow,450,for_rent,1,apartment,104,
108-110 Hudson St # 108HUD,1,3,42.438122,-76.494408,0,9182887562,2400.00,TRUE,PPM Homes LLC,0,for_rent,1,apartment,3,
613 E State St,1.5,3.5,42.438969,-76.509132,0,3912662656,3268.00,TRUE,"MLR Property Management, LLC",0,for_rent,1,apartment,6,
327 W Seneca St,1,2,42.440065,-76.503534,0,3921233823,1682.50,TRUE,Live More Ithaca,700,for_rent,1,apartment,13,
802-812 Dryden Rd,2,3,42.451904,-76.448799,0,9407413870,2480.00,TRUE,Ithacor,0,for_rent,1,apartment,42,
324 Pleasant St,1,1,42.436905,-76.493294,0,9726967358,900.00,TRUE,Ithaca Living Solutions,550,for_rent,1,apartment,4,
324 Spencer Rd,1,2,42.429231,-76.504343,0,3106938404,1295.00,FALSE,Forest Edge Townhomes,850,for_rent,1,apartment,14,1995.0
123 Columbia St # 123COL,1,3,42.435635,-76.495323,0,9485823735,2130.00,TRUE,PPM Homes LLC,0,for_rent,1,apartment,3,
405-409 S Aurora St,1.5,3.5,42.436364,-76.494251,0,4400348928,3300.00,TRUE,PPM Homes LLC,1343.5,for_rent,1,apartment,3,
311-313 S Aurora St,3,5,42.437008,-76.49441,0,9703462005,3725.00,TRUE,PPM Homes LLC,2100,for_rent,1,apartment,13,
101 Dryden Rd,1,3,42.441994,-76.487244,0,9043685736,3075.00,TRUE,PPM Homes LLC,0,for_rent,1,apartment,8,
105 Hudson St # 105HUD,2,4,42.43856,-76.494583,0,9591623263,3000.00,TRUE,PPM Homes LLC,1600,for_rent,1,apartment,2,
429-431 N Tioga St,1,2,42.444149,-76.496811,0,9436567580,2550.00,TRUE,"MLR Property Management, LLC",1000,for_rent,1,apartment,4,
519 E Buffalo St,1,2,42.441285,-76.490701,0,3834217847,1200.00,FALSE,"Moll Properties, Inc.",0,for_rent,1,other,7,
106 Wiedmaier Ct,2,3,42.413681,-76.449093,0,3610937531,3244.00,TRUE,Ithacor,1476,for_rent,1,apartment,2,2007.0
409 College Ave,1,1.5,42.442255,-76.484963,0,9523596613,4095.00,TRUE,"Student Agencies Properties, Inc.",725,for_rent,1,apartment,64,
103 Wiedmaier Ct,1.5,3,42.413895,-76.44801,0,3609558692,1450.00,TRUE,Ithacor,1144.5,for_rent,1,apartment,2,2015.0
902 Dryden Rd,1.5,2.5,42.453703,-76.44438,0,3409039337,1975.00,TRUE,Ithacor,0,for_rent,1,apartment,10,
