address/street,baths,beds,coordinates/latitude,coordinates/longitude,garage,id,listPrice,is_manual,name,sqft,status,stories,type,units,year_built
43 Fiddlers Rdg,4,6,42.55152,-76.563698,0,3927732618,4000.00,FALSE,,3542,for_rent,1,single_family,1,
202 Linden Ave Unit 303,1,4,42.439472,-76.484375,0,9777901913,900.00,FALSE,,1010,for_rent,1,condos,1,
815 S Aurora St Unit A207,1,3,42.430042,-76.49662,0,9105502388,1000.00,FALSE,,980,for_rent,1,condos,1,
217 Columbia St,3,4.5,42.435586,-76.493332,0,3110814062,3949.00,TRUE,"MLR Property Management, LLC",0,for_rent,1,other,5,
126 College Ave Unit 401,2,6,42.438778,-76.485321,0,9708488612,1417.00,FALSE,,1658,for_rent,1,condos,1,
218 Pleasant St,1,3,42.436819,-76.495883,0,3999492302,2040.00,FALSE,,1400,for_rent,1,single_family,1,
135 Coddington Rd,1,3,42.429737,-76.494026,0,9974051488,2175.00,FALSE,,1500,for_rent,1,single_family,1,
504 S Aurora St,1,4,42.435528,-76.494904,0,9522569919,3400.00,FALSE,,1400,for_rent,1,single_family,1,
117 Prospect St,1,4,42.437156,-76.49576,0,3996771888,2640.00,FALSE,,1300,for_rent,1,single_family,1,
708 E Seneca-3 708 Sen St E # 1-2,3,10,42.440922,-76.489113,0,9648829532,8550.00,FALSE,,3000,for_rent,1,single_family,1,
2250 N Triphammer Rd Apt K2,1.5,2,42.478687,-76.487259,0,9604444238,1728.00,TRUE,Lansing West Apartments,894,for_rent,1,apartment,180,
1 Candlewyck Dr,1,1.5,42.46021,-76.52717,0,3608593626,1775.50,TRUE,Candlewyck Park,755,for_rent,1,apartment,77,
166 Bush Ln,3,4,42.497919,-76.479263,0,4240505674,2950.00,FALSE,,1650,for_rent,1,single_family,1,
115 Prospect St # 1,1,3,42.437073,-76.495872,0,9267287577,2100.00,FALSE,,0,for_rent,1,apartment,1,
402 Esty St,1,1,42.44352,-76.507092,0,3744705053,1550.00,FALSE,,720,for_rent,1,single_family,1,
116 Ferris Pl Apt 3,1,3,42.438095,-76.489319,0,9190586965,2010.00,FALSE,,0,for_rent,1,apartment,1,
207 Kevin Pl,1,3,,,0,9119603768,2400.00,FALSE,,0,for_rent,1,apartment,1,
115 Prospect St # 2,1,3,42.437073,-76.495872,0,9624387043,2100.00,FALSE,,0,for_rent,1,apartment,1,
106-112 S Quarry St,1.5,3.5,42.438304,-76.488487,0,4064492174,3700.00,TRUE,"MLR Property Management, LLC",0,for_rent,1,other,5,
116 Ferris Pl Apt 2,1,3,42.438127,-76.489369,0,4340179655,2100.00,FALSE,,750,for_rent,1,apartment,1,
218 Delaware Ave Apt 4,2,5,42.440521,-76.483574,0,9004188671,5250.00,FALSE,,0,for_rent,1,apartment,1,
112-114 Schuyler Pl,1,3,42.439892,-76.492302,0,9356349145,775.00,FALSE,,0,for_rent,1,apartment,1,
118 Ferris Pl Apt 2,1,4,42.438084,-76.489365,0,9858278091,2800.00,FALSE,,0,for_rent,1,apartment,1,
238 Dryden Rd Unit 201,2,2,42.441662,-76.483253,0,9800762398,3710.00,FALSE,,990,for_rent,1,condos,1,
218 Delaware Ave,1.5,3.5,42.440545,-76.483578,0,3877781734,3075.00,FALSE,Landlords Association,0,for_rent,1,apartment,3,0.0
104 Lake Ave,4,7,42.444748,-76.499762,0,9843308796,825.00,FALSE,,0,for_rent,1,apartment,1,
214 Dryden Rd,4,7,42.441896,-76.484229,0,9725975963,850.00,FALSE,,0,for_rent,1,apartment,1,
