property_url,mls,mls_id,status,style,street,unit,city,state,zip_code,beds,full_baths,half_baths,sqft,year_built,days_on_mls,list_price,list_date,sold_price,last_sold_date,lot_sqft,price_per_sqft,latitude,longitude,stories,hoa_fee,parking_garage
https://www.realtor.com/realestateandhomes-detail/9099740249,RLXB,6128853,FOR_RENT,APARTMENT,107-109 Hudson St,# 107HUD,Ithaca,NY,14850,,,,,,34,,2023-09-13,,,,,42.438454,-76.494263,,,
https://www.realtor.com/realestateandhomes-detail/9182887562,RLXB,6240602,FOR_RENT,APARTMENT,108-110 Hudson St,# 108HUD,Ithaca,NY,14850,,,,,,34,,2023-09-13,,,,,42.438122,-76.494408,,,
https://www.realtor.com/realestateandhomes-detail/9528013151,RLXB,4740159,FOR_RENT,APARTMENT,119-121 Prospect St,# 119PRO,Ithaca,NY,14850,,,,,,34,,2023-09-13,,,,,42.437225,-76.495598,,,
https://www.realtor.com/realestateandhomes-detail/9591623263,RLXB,6128917,FOR_RENT,APARTMENT,105 Hudson St,# 105HUD,Ithaca,NY,14850,,,,,,34,,2023-09-13,,,,,42.43856,-76.494583,,,
https://www.realtor.com/realestateandhomes-detail/9485823735,RLXB,6121768,FOR_RENT,APARTMENT,123 Columbia St,# 123COL,Ithaca,NY,14850,,,,,,34,,2023-09-13,,,,,42.435635,-76.495323,,,
https://www.realtor.com/realestateandhomes-detail/9201262810,AVAL,60493010,FOR_RENT,APARTMENT,524 Albany St,Apt 1,Ithaca,NY,14850,2,1,,700,,36,1350,2023-09-11,,,,2,42.433193,-76.501663,,,
https://www.realtor.com/realestateandhomes-detail/3992635369,RLXB,6118331,FOR_RENT,APARTMENT,309 Aurora St,,Ithaca,NY,14850,,,,,,39,,2023-09-08,,,,,42.437196,-76.494479,,,
https://www.realtor.com/realestateandhomes-detail/4024423218,RLXB,3525411,FOR_RENT,OTHER,111 Blair St,,Ithaca,NY,14850,,,,,,40,,2023-09-07,325000,2010-07-30,,,42.437708,-76.485614,,,
https://www.realtor.com/realestateandhomes-detail/9849757139,RLXB,6121673,FOR_RENT,APARTMENT,410 Aurora St,,Ithaca,NY,14850,,,,,1975,40,,2023-09-07,,,,,42.436188,-76.494972,,,
https://www.realtor.com/realestateandhomes-detail/3834217847,RLXB,2580733,FOR_RENT,OTHER,519 Buffalo St,,Ithaca,NY,14850,,,,,,40,,2023-09-07,470000,2011-09-21,,,42.441285,-76.490701,,,
https://www.realtor.com/realestateandhomes-detail/9727296845,RLXB,4590405,FOR_RENT,APARTMENT,119 Stewart Ave,# 119STE,Ithaca,NY,14850,,,,,,47,,2023-08-31,,,,,42.440525,-76.489502,,,
https://www.realtor.com/realestateandhomes-detail/3912662656,RLXB,6211972,FOR_RENT,APARTMENT,613 State St,,Ithaca,NY,14850,,,,,,48,,2023-08-30,615000,2021-03-15,,,42.438969,-76.509132,,,
https://www.realtor.com/realestateandhomes-detail/3570374974,RLXB,8222407,FOR_RENT,OTHER,710 Stewart Ave,,Ithaca,NY,14850,,,,,,48,,2023-08-30,505000,2017-05-19,,,42.450213,-76.490992,,,
https://www.realtor.com/realestateandhomes-detail/4064492174,RLXB,4345044,FOR_RENT,OTHER,106-112 Quarry St,,Ithaca,NY,14850,,,,,,48,,2023-08-30,,,,,42.438304,-76.488487,,,
https://www.realtor.com/realestateandhomes-detail/9254273635,RLXB,8222491,FOR_RENT,APARTMENT,210 Delaware Ave,,Ithaca,NY,14850,,,,,0,48,,2023-08-30,,,,,42.439892,-76.483505,,,
https://www.realtor.com/realestateandhomes-detail/3857918987,RLXB,5219606,FOR_RENT,APARTMENT,306 Bryant Ave,,Ithaca,NY,14850,,,,,,48,,2023-08-30,635000,2019-10-03,,,42.440925,-76.483697,,,
https://www.realtor.com/realestateandhomes-detail/3898650662,RLXB,3789250,FOR_RENT,OTHER,711 Seneca St,,Ithaca,NY,14850,,,,,,48,,2023-08-30,775000,2022-12-09,,,42.440432,-76.488811,,,
https://www.realtor.com/realestateandhomes-detail/9538748690,RLXB,7679112,FOR_RENT,APARTMENT,211 Linden Ave,,Ithaca,NY,14850,,,,,,48,,2023-08-30,,,,,42.439835,-76.483894,,,
https://www.realtor.com/realestateandhomes-detail/4203113412,RLXB,6144771,FOR_RENT,APARTMENT,718 Hudson St,,Ithaca,NY,14850,,,,,,52,,2023-08-26,,,,,42.429743,-76.492045,,,
https://www.realtor.com/realestateandhomes-detail/4079390483,RLXB,6117167,FOR_RENT,OTHER,416 Hudson St,# 416HUD,Ithaca,NY,14850,,,,,,52,,2023-08-26,350000,2020-01-28,,,42.435165,-76.492434,,,
https://www.realtor.com/realestateandhomes-detail/3875955703,RLXB,7721943,FOR_RENT,APARTMENT,129 College Ave,,Ithaca,NY,14850,,,,,,52,,2023-08-26,,,,,42.439202,-76.484891,,,
