"placeId","cid","title","street","city","state","categoryName","temporarilyClosed","reviewsCount","price","imagesCount","isAdvertisement","description","permanentlyClosed","url","rank","totalScore","location/lat","location/lng"
"ChIJJXJ7qpGD0IkRV6RtbCXv9NQ","15345152774370075735","Target Grocery","40 Catherwood Rd","Ithaca","New York","Grocery store","false","3",,"7","false",,"false","https://www.google.com/maps/place/Target+Grocery/@42.4835813,-76.4913708,17z/data=!3m1!4b1!4m6!3m5!1s0x89d08391aa7b7225:0xd4f4ef256c6da457!8m2!3d42.4835813!4d-76.4913708!16s%2Fg%2F11h84bdr_8?hl=en&entry=ttu","4","4.7","42.4835813","-76.4913708"
"ChIJmcGnumeC0IkRSbfGdocRfZA","10411497187061446473","Ithaca Tofu","23 Cinema Dr","Ithaca","New York","Asian grocery store","false","226",,"98","false",,"false","https://www.google.com/maps/place/Ithaca+Tofu/@42.4795294,-76.4776697,17z/data=!3m1!4b1!4m6!3m5!1s0x89d08267baa7c199:0x907d118776c6b749!8m2!3d42.4795294!4d-76.4776697!16s%2Fg%2F1tj46wxp?hl=en&entry=ttu","1","4.5","42.4795294","-76.4776697"
"ChIJMYsOeliF0IkRdg9J8YV3SCs","3118874159116521334","Shur-save","2085 NY-96","Trumansburg","New York","Supermarket","false","286",,"68","false",,"false","https://www.google.com/maps/place/Shur-save/@42.5343117,-76.6414174,17z/data=!3m1!4b1!4m6!3m5!1s0x89d085587a0e8b31:0x2b487785f1490f76!8m2!3d42.5343117!4d-76.6414174!16s%2Fg%2F1td0zg12?hl=en&entry=ttu","1","4.1","42.5343117","-76.6414174"
"ChIJzYIJRS2D0IkRpsX5niyS9_g","17939968360997045670","ALDI","2309 N Triphammer Rd","Ithaca","New York","Supermarket","false","49","Grocery store chain","18","false","Retail chain selling a range of grocery items, meat & dairy.","false","https://www.google.com/maps/place/ALDI/@42.483179,-76.4828933,17z/data=!3m1!4b1!4m6!3m5!1s0x89d0832d450982cd:0xf8f7922c9ef9c5a6!8m2!3d42.483179!4d-76.4828933!16s%2Fg%2F11t86nv58x?hl=en&entry=ttu","5","4.4","42.483179","-76.4828933"
"ChIJd5TQDg6B0IkRbpGn-FwbWGE","7014386505752220014","Walmart Supercenter","135 Fairgrounds Memorial Pkwy","Ithaca","New York","Department store","false","3009","£","753","false",,"false","https://www.google.com/maps/place/Walmart+Supercenter/@42.427751,-76.5137766,17z/data=!3m1!4b1!4m6!3m5!1s0x89d0810e0ed09477:0x61581b5cf8a7916e!8m2!3d42.427751!4d-76.5137766!16s%2Fm%2F03nzvkr?hl=en&entry=ttu","9","3.7","42.427751","-76.5137766"
"ChIJo7LgaKF90IkRGU8_8Ksx-oc","9798198553837784857","Covered Bridge Market","176 Main St","Newfield","New York","Pizza restaurant","false","228","££","57","false",,"false","https://www.google.com/maps/place/Covered+Bridge+Market/@42.3624,-76.5902786,17z/data=!3m1!4b1!4m6!3m5!1s0x89d07da168e0b2a3:0x87fa31abf03f4f19!8m2!3d42.3624!4d-76.5902786!16s%2Fg%2F1td4fjjm?hl=en&entry=ttu","14","4.5","42.3624","-76.5902786"
"ChIJ26c_n7CB0IkRYq6eULKlCcs","14630407049765105250","Smiley’s mini mart","825 Danby Rd","Ithaca","New York","Convenience Store","false","9",,"15","false",,"false","https://www.google.com/maps/place/Smiley%E2%80%99s+mini+mart/@42.4287502,-76.497492,17z/data=!3m1!4b1!4m6!3m5!1s0x89d081b09f3fa7db:0xcb09a5b2509eae62!8m2!3d42.4287502!4d-76.497492!16s%2Fg%2F11tc9gbyyt?hl=en&entry=ttu","19","4","42.4287502","-76.497492"
"ChIJnU1g142B0IkR3HF128rsI2o","7648216948214690268","7-Eleven","409 College Ave","Ithaca","New York","Convenience Store","false","47","£","1064","false","Convenience chain offering grab-&-go bites & beverages, plus assorted newsstand items.","false","https://www.google.com/maps/place/7-Eleven/@42.4421178,-76.4849973,17z/data=!3m1!4b1!4m6!3m5!1s0x89d0818dd7604d9d:0x6a23eccadb7571dc!8m2!3d42.4421178!4d-76.4849973!16s%2Fg%2F1262bcb1r?hl=en&entry=ttu","13","3.4","42.4421178","-76.4849973"
"ChIJA-f9XHSB0IkRTuEkcbYC8O0","17145206764005024078","CVS","625 W Clinton St","Ithaca","New York","Chemist","false","68","Beauty supplies & home health items","15","false","Drugstore chain selling a variety of beauty & health products, plus some grocery & household items.","false","https://www.google.com/maps/place/CVS/@42.4363755,-76.5069795,17z/data=!3m1!4b1!4m6!3m5!1s0x89d081745cfde703:0xedf002b67124e14e!8m2!3d42.4363755!4d-76.5069795!16s%2Fg%2F1tgjm843?hl=en&entry=ttu","18","2.6","42.4363755","-76.5069795"
"ChIJlyfaa5uB0IkRkUtru6im3iI","2512628885748403089","Common's Market & Smoke Shop","122 N Aurora St","Ithaca","New York","Convenience Store","false","25",,"20","false",,"false","https://www.google.com/maps/place/Common's+Market+%26+Smoke+Shop/@42.4403009,-76.495858,17z/data=!3m1!4b1!4m6!3m5!1s0x89d0819b6bda2797:0x22dea6a8bb6b4b91!8m2!3d42.4403009!4d-76.495858!16s%2Fg%2F1wnby_4s?hl=en&entry=ttu","12","3.6","42.4403009","-76.495858"
