,address/locality,address/street,baths,beds,coordinates/latitude,coordinates/longitude,garage,id,listPrice,local/flood/flood_factor_score,local/noise/score,local/wildfire/fire_factor_score,name,sqft,status,stories,type,units,year_built,amenity_count
53,Ithaca,124 Sears St Apt 1,2.0,5.0,42.443836,-76.498238,0.0,9637407987,2950.0,6.0,80.0,2.0,,1500.0,for_rent,1.0,apartment,1.0,,2
54,Ithaca,506 S Cayuga St Apt 1,1.0,4.0,42.433925,-76.498937,0.0,4339993326,2720.0,1.0,80.0,2.0,,0.0,for_rent,1.0,apartment,1.0,,2
55,Ithaca,118 Ferris Pl Apt 1,2.0,6.0,42.438084,-76.489365,0.0,9610840462,4200.0,1.0,75.0,1.0,,0.0,for_rent,1.0,apartment,1.0,,5
56,Ithaca,238 Dryden Rd Unit 402,1.0,2.0,42.441662,-76.483253,0.0,9443572855,3500.0,1.0,75.0,3.0,,781.0,for_rent,1.0,condos,1.0,,0
57,Ithaca,815 S Aurora St Unit A206,1.0,2.0,42.430042,-76.49662,0.0,9918526406,2300.0,,83.0,,,736.0,for_rent,1.0,condos,1.0,,1
58,Ithaca,238 Dryden Rd Unit 102,1.0,2.0,42.441662,-76.483253,0.0,9241504919,3500.0,1.0,75.0,3.0,,781.0,for_rent,1.0,condos,1.0,,0
59,Ithaca,238 Dryden Rd Unit 302,1.0,2.0,42.441662,-76.483253,0.0,9110029277,3530.0,1.0,75.0,3.0,,781.0,for_rent,1.0,condos,1.0,,0
60,Ithaca,815 S Aurora St Unit B301,1.0,2.0,42.430042,-76.49662,0.0,9735512368,2100.0,,83.0,,,736.0,for_rent,1.0,condos,1.0,,1
61,Ithaca,815 S Aurora St Unit A203,1.0,2.0,42.430042,-76.49662,0.0,9247939406,2000.0,,83.0,,,607.0,for_rent,1.0,condos,1.0,,1
62,Ithaca,702 Hudson Bedroom Downstairs St Unit 3,2.0,3.0,42.430138,-76.492523,0.0,9242504609,2475.0,1.0,82.0,1.0,,0.0,for_rent,1.0,condos,1.0,,0
63,Ithaca,815 S Aurora St Unit A204,1.0,2.0,42.430042,-76.49662,0.0,9949146891,2100.0,,83.0,,,607.0,for_rent,1.0,condos,1.0,,1
64,Ithaca,815 S Aurora St Unit A205,1.0,2.0,42.430042,-76.49662,0.0,9702777886,2300.0,,83.0,,,736.0,for_rent,1.0,condos,1.0,,1
65,Ithaca,702 Hudson St Unit 2,2.0,3.0,42.430138,-76.492523,0.0,9586565159,795.0,1.0,82.0,1.0,,0.0,for_rent,1.0,condos,1.0,,0
66,Ithaca,815 S Aurora St Unit B104,1.0,2.0,42.430042,-76.49662,0.0,9333900278,2300.0,,83.0,,,736.0,for_rent,1.0,condos,1.0,,1
67,Ithaca,815 S Aurora St Unit A304,1.0,2.0,42.430042,-76.49662,0.0,9129857535,2100.0,,83.0,,,607.0,for_rent,1.0,condos,1.0,,1
68,Ithaca,205 Williams St,2.0,7.0,42.442171,-76.488493,0.0,3844018790,995.0,1.0,78.0,3.0,,0.0,for_rent,1.0,apartment,1.0,,0
69,Ithaca,815 S Aurora St Unit A202,1.0,2.0,42.430042,-76.49662,0.0,9122493562,2300.0,,83.0,,,736.0,for_rent,1.0,condos,1.0,,1
70,Ithaca,126 College Ave Unit 201,2.0,6.0,42.438778,-76.485321,0.0,9320578554,1417.0,1.0,74.0,3.0,,1658.0,for_rent,1.0,condos,1.0,,0
