,address/street,baths,beds,coordinates/latitude,coordinates/longitude,garage,id,listPrice,is_manual,name,sqft,status,stories,type,units,year_built,transit_time_cornell,transit_time_schools,mean_transit_time_food,mean_attraction_food,mean_transit_time_groceries,mean_attraction_groceries,local/flood/flood_factor_score,local/noise/score,local/wildfire/fire_factor_score,amenity_count,driving_time
0,809 S Aurora St,2.0,5.0,42.430851,-76.496069,0,4208852367,2625.0,False,,1300.0,for_rent,1,single_family,1,,32.96426570805314,41.66065551170444,28.614509607047268,58.54723494021424,32.67730322881649,32.56069188817663,1.0,84.0,3.0,4,485
1,419 Triphammer Rd,2.0,6.0,42.460409,-76.481516,4,4733433667,5000.0,False,,3200.0,for_rent,2,single_family,1,1956.0,18.72665160053901,39.53829236786683,40.99822525112732,30.616059958343605,48.480456715355885,18.194782696751425,1.0,93.0,2.0,7,228
2,517 S Aurora St,2.0,6.0,42.435014,-76.494344,0,4090421202,4350.0,False,,2457.0,for_rent,1,single_family,1,,27.15319741193655,37.90517798899152,25.817097036163823,74.61592355219574,31.36724564968792,38.49674880506386,1.0,81.0,3.0,0,457
3,3 Hudson Pl,1.0,2.0,42.430688,-76.493156,0,4199200488,1600.0,False,,900.0,for_rent,1,single_family,1,,31.883100629931366,42.72590990338298,30.34374855782796,49.46007528639223,34.69340139574779,29.001821710937737,1.0,84.0,1.0,3,535
4,600 Warren Rd Apt 4-2,1.5,1.5,42.477345,-76.467567,0,9934501911,1881.0,True,Warren Wood,894.0,for_rent,1,apartment,181,,52.59518216504727,52.70179535814736,65.9575138082458,17.632660189173365,66.08003778656628,8.122851993588952,1.0,75.0,2.0,6,536
5,114 Stewart Ave,3.0,7.0,42.4401,-76.489955,0,3898203471,850.0,False,,0.0,for_rent,1,single_family,1,,17.515750564385772,39.05147845919624,23.78555124895208,82.97391608896842,30.93377617766096,34.70351846871384,1.0,77.0,2.0,6,267
6,2250 N Triphammer Rd,1.0,1.0,42.47845,-76.48666,0,3702832655,1400.0,False,Brooklane,550.0,for_rent,1,apartment,26,,50.181615715111285,50.00467562575853,62.35680750291469,25.478747200081216,59.475493269135725,18.28590805842772,1.0,76.0,2.0,4,499
7,601 Winston Ct Apt 1,1.0,2.5,42.475689,-76.45789,0,3523590622,1645.0,True,Winston Square Apartments,1000.0,for_rent,1,apartment,108,,57.3608423169494,63.02750565030362,70.65968165116317,14.909270888620505,69.76951663147737,6.68328552458707,1.0,88.0,3.0,5,571
8,37 Uptown Rd Apt 16D,1.0,1.5,42.480465,-76.475517,0,9629301982,1519.0,True,Gaslight Village,925.0,for_rent,1,apartment,144,,54.610920782091085,52.26807509378431,65.23730229693963,21.641454807503692,63.76022556676944,17.5548536184421,1.0,73.0,2.0,6,543
9,918 Danby Rd,1.5,3.5,42.426423,-76.499661,0,3321251993,2350.0,True,"Ithaca Estates Realty, LLC",0.0,for_rent,1,apartment,2,,39.82077242802176,46.37672194548465,33.27434425789025,44.24582062451297,35.265486011286534,26.572701942078755,1.0,74.0,3.0,4,519
10,700 Warren Rd # 18-2,1.5,2.0,42.486946,-76.470795,0,9890806356,1586.5,True,North Wood Apartments,894.0,for_rent,1,apartment,271,,68.26949577686936,58.24848499096705,71.47934834564957,15.206619873507016,66.90772560373439,8.705672246440686,1.0,77.0,3.0,8,661
11,704 Triphammer Rd,3.0,4.0,42.462183,-76.483453,0,4700006116,3300.0,False,,1898.0,for_rent,1,single_family,1,,21.52229803616052,39.85272006227611,42.166903837450285,30.182893616819825,49.141481557627365,18.13583149306148,6.0,90.0,2.0,4,246
