Geo_FIPS,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_PUMA5,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A10057_001,SE_A10047_001,SE_A10047_002,SE_A10047_003,SE_A10047_004,SE_A10044_001,SE_A10044_002,SE_A10044_003,SE_A10060_001,SE_A10060_002,SE_A10060_003,SE_A10001_001,SE_A14024_001,SE_A00002_001,SE_A00002_002,SE_A00002_003,SE_A10003B_001,SE_A17005_001,SE_A17005_002,SE_A17005_003,SE_A10059B_001,SE_A10059B_002,SE_A10059B_003,SE_A10059B_004,SE_A10059B_005,SE_A10059B_006,SE_A10059B_007,SE_A10059B_008,SE_A10059B_009,SE_A10059B_010,SE_A10059B_011,SE_A10056B_001,SE_A10056B_002,SE_A10056B_003,SE_A10056B_004,SE_A10056B_005,SE_A10056B_006,SE_A10056B_007,SE_A10046B_001,SE_A10046B_002,SE_A10046B_003,SE_A10046B_004,SE_A10046B_005,SE_A10046B_006,SE_A10043B_001,SE_A10043B_002,SE_A10043B_003,SE_A10043B_004,SE_A10043B_005,SE_A10043B_006,SE_A10043B_007,SE_A10043B_008,SE_A10043B_009,SE_A10043B_010,SE_A10042B_001,SE_A10042B_002,SE_A10042B_003,SE_A10042B_004,SE_A10042B_005,SE_A10042B_006,SE_A10042B_007,SE_A10054B_001,SE_A10054B_002,SE_A10054B_003,SE_A10054B_004,SE_A10054B_005,SE_A10054B_006,SE_A10054B_007
"361090014003","Block Group 3, Census Tract 14, Tompkins County, New York","ny","150","00",,,,"36","109",,,"001400","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3",,,,1979,28,0,0,28,548,520,28,520,390,130,548,73952,1220,145.7318,8.37154380638057,2.01,593,542,51,130,0,43,0,34,0,35,18,0,0,0,130,34,43,11,30,0,12,130,87,43,0,0,0,130,0,12,0,43,45,0,0,0,30,130,0,12,77,11,30,0,130,0,96,34,0,0,0
"361090015001","Block Group 1, Census Tract 15, Tompkins County, New York","ny","150","00",,,,"36","109",,,"001500","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1",,,,1985,20,0,0,20,1002,982,20,982,340,642,1002,47248,2281,1671.059,1.36500284943405,2.1,1446,1374,72,642,0,18,57,120,151,225,56,15,0,0,642,161,278,186,17,0,0,642,502,113,27,0,0,642,39,65,103,225,111,14,0,85,0,642,39,173,252,178,0,0,642,0,553,89,0,0,0
"361090015002","Block Group 2, Census Tract 15, Tompkins County, New York","ny","150","00",,,,"36","109",,,"001500","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2",,,,1983,108,0,0,108,1256,1148,108,1148,720,428,1256,53627,2470,218.2402,11.3178068778697,1.35,1326,1255,71,428,53,102,43,0,83,88,54,0,0,5,428,131,112,127,34,7,17,428,309,119,0,0,0,428,36,42,175,112,58,0,5,0,0,428,36,217,119,56,0,0,428,43,344,41,0,0,0
"361090015003","Block Group 3, Census Tract 15, Tompkins County, New York","ny","150","00",,,,"36","109",,,"001500","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3",,,,1995,113,0,0,113,537,424,113,424,350,74,537,82566,1127,252.6978,4.45987201485103,,651,651,0,74,0,0,0,1,51,22,0,0,0,0,74,0,23,32,19,0,0,74,73,1,0,0,0,74,1,0,32,41,0,0,0,0,0,74,1,51,22,0,0,0,74,19,55,0,0,0,0
"361090016001","Block Group 1, Census Tract 16, Tompkins County, New York","ny","150","00",,,,"36","109",,,"001600","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1",,,,1973,69,22,0,47,762,693,69,693,500,193,762,45349,1452,109.1937,13.297473192926,2.35,755,744,11,193,0,0,0,120,9,20,12,10,0,22,193,0,111,63,10,0,9,193,82,111,0,0,0,193,0,0,0,120,12,10,22,9,20,193,0,21,10,142,20,0,193,0,37,144,0,12,0
"361090016002","Block Group 2, Census Tract 16, Tompkins County, New York","ny","150","00",,,,"36","109",,,"001600","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2",,,,1938,33,22,0,11,673,640,33,640,394,246,673,47878,1335,1027.646,1.29908594171093,1.67,594,585,9,246,0,6,5,48,18,32,6,18,0,113,246,0,68,132,36,10,0,246,217,29,0,0,0,246,0,28,33,87,42,24,0,0,32,246,0,67,137,28,14,0,246,16,149,81,0,0,0
"361090016003","Block Group 3, Census Tract 16, Tompkins County, New York","ny","150","00",,,,"36","109",,,"001600","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3",,,,1958,54,0,0,54,763,709,54,709,545,164,763,30056,1605,141.6526,11.3305358943748,1.41,825,665,160,164,0,0,10,36,0,51,12,0,10,45,164,10,45,62,30,17,0,164,155,9,0,0,0,164,0,3,64,29,30,21,0,0,17,164,0,47,69,31,17,0,164,0,105,59,0,0,0
"361090017001","Block Group 1, Census Tract 17, Tompkins County, New York","ny","150","00",,,,"36","109",,,"001700","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1",,,,1981,49,0,17,32,602,553,49,553,419,134,602,42538,1118,62.50603,17.8862728321521,1.47,543,537,6,134,0,26,9,0,45,30,0,12,0,12,134,12,35,51,6,6,24,134,125,9,0,0,0,134,0,19,0,50,45,8,0,6,6,134,0,45,30,47,12,0,134,52,38,32,12,0,0
"361090017002","Block Group 2, Census Tract 17, Tompkins County, New York","ny","150","00",,,,"36","109",,,"001700","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2",,,,1987,0,0,0,0,562,562,0,562,431,131,562,38647,1279,93.71154,13.6482655518095,1.63,760,760,0,131,0,11,31,29,32,5,23,0,0,0,131,0,56,50,25,0,0,131,94,37,0,0,0,131,0,9,21,40,44,0,6,11,0,131,0,9,89,33,0,0,131,14,38,68,11,0,0
"361090017003","Block Group 3, Census Tract 17, Tompkins County, New York","ny","150","00",,,,"36","109",,,"001700","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3",,,,1984,36,0,0,36,418,382,36,382,255,127,418,28163,1270,86.64943,14.656761344068,5.14,602,577,25,127,0,0,0,0,78,10,21,18,0,0,127,0,78,49,0,0,0,127,30,97,0,0,0,127,0,0,0,22,0,40,47,18,0,127,0,0,0,109,18,0,127,18,9,22,31,0,47
